Updated Matlist.txt 5/22/2011
http://www.VarmintAl.com/aengr.htm
English Units (lbf-s2/in, in, s, lbf, psi, lbf-in)
 
I.D. Material Name and Condition.                                  Density Yng's Poiss  Yld   Ult  Elong Redu  CTE  Yld
                                                                   lb/in^3 Modul Ratio  Strs  Strs   %   Area 10^-6 off-
                                                                            msi         ksi   ksi         %   /degF set
   1 ALUMINUM PURE 99.996 ANNEALED                                  0.0970 10.00 0.330   1.8   7.0  50.0  --- 13.20 0.20
   2 ALUMINUM PURE 99.45-O CONDITION                                0.0980 10.00 0.330   4.0  12.0  30.0  --- 13.20 0.20
   3 ALUMINUM PURE-H12 SHEET                                        0.0980 10.00 0.330  12.0  14.0   8.0  --- 13.20 0.20
   4 ALUMINUM PURE-H16 SHEET                                        0.0980 10.00 0.330  16.0  18.0   4.0  --- 13.20 0.20
   5 ALUMINUM 1060-O SHEET                                          0.0980 10.00 0.330   4.0  10.0  43.0  --- 13.10 0.20
   6 ALUMINUM 1060-H12 SHEET                                        0.0980 10.00 0.330  11.0  12.0  16.0  --- 13.10 0.20
   7 ALUMINUM 1060-H18 SHEET                                        0.0980 10.00 0.330  18.0  19.0   6.0  --- 13.10 0.20
   8 ALUMINUM 1100-O SHEET                                          0.0980 10.00 0.330   5.0  14.0  35.0  --- 13.10 0.20
   9 ALUMINUM 1100-H14 SHEET                                        0.0980 10.00 0.330  17.0  18.0  13.0  --- 13.10 0.20
  10 ALUMINUM 1100-H18 SHEET                                        0.0980 10.00 0.330  26.0  28.0   6.0  --- 13.10 0.20
  11 ALUMINUM 2011-T3 BAR                                           0.1020 10.20 0.330  43.0  55.0  15.0  --- 12.70 0.20
  12 ALUMINUM 2011-T8 BAR                                           0.1020 10.20 0.330  45.0  59.0  12.0  --- 12.70 0.20
  13 ALUMINUM 2014-O BAR                                            0.1010 10.60 0.330  14.0  27.0  18.0  --- 12.80 0.20
  14 ALUMINUM 2014-T6 SHEET                                         0.1010 10.60 0.330  68.0  74.0  10.0  --- 12.80 0.20
  15 ALUMINUM 2014-T651                                             0.1010 10.60 0.330  63.5  69.0  10.2 25.0 12.80 0.20
  16 ALUMINUM 2017-O BAR                                            0.1010 10.50 0.330  10.0  26.0  22.0  --- 13.10 0.20
  17 ALUMINUM 2017-T4 BAR                                           0.1010 10.50 0.330  40.0  62.0  22.0  --- 13.10 0.20
  18 ALUMINUM 2021-O SHEET                                          0.1030 10.70 0.330  10.0  24.0  23.0  --- 12.60 0.20
  19 ALUMINUM 2021-T31 SHEET                                        0.1030 10.70 0.330  40.0  60.0  20.0  --- 12.60 0.20
  20 ALUMINUM 2021-T81 PLATE                                        0.1030 10.70 0.330  63.0  73.0   9.0  --- 12.60 0.20
  21 ALUMINUM 2021-T8151                                            0.1030 10.70 0.330  66.6  74.4   8.0  8.0 12.60 0.20
  22 ALUMINUM 2024-O SHEET                                          0.1000 10.60 0.330  11.0  27.0  12.0  --- 12.90 0.20
  23 ALUMINUM 2024-T3 SHEET                                         0.1000 10.60 0.330  51.0  68.0  18.0  --- 12.90 0.20
  24 ALUMINUM 2024-T4 SHEET                                         0.1000 10.60 0.330  47.0  68.0  15.0  --- 12.90 0.20
  25 ALUMINUM 2024-T851 PLATE                                       0.1000 10.60 0.330  68.0  72.0   8.0  --- 12.90 0.20
  26 ALUMINUM 2025-T6 PLATE                                         0.1010 10.40 0.330  37.0  58.0  19.0  --- 12.60 0.20
  27 ALUMINUM 2219-O SHEET                                          0.1020 10.60 0.330  11.0  25.0  18.0  --- 12.40 0.20
  28 ALUMINUM 2219-T31 SHEET                                        0.1020 10.60 0.330  45.0  56.0  17.0  --- 12.40 0.20
  29 ALUMINUM 2219-T62 SHEET                                        0.1020 10.60 0.330  39.0  59.0   9.0  --- 12.40 0.20
  30 ALUMINUM 2219-T851 SHEET                                       0.1020 10.60 0.330  51.0  66.0  10.0  --- 12.40 0.20
  31 ALUMINUM 2219-T851                                             0.1020 10.60 0.330  53.8  67.6  11.0 27.0 12.40 0.20
  32 ALUMINUM 2618-T6 SHEET                                         0.1000 10.50 0.330  56.0  61.0   6.0  --- 12.30 0.20
  33 ALUMINUM 3003-O SHEET                                          0.0990 10.00 0.330   6.0  16.0  30.0  --- 12.90 0.20
  34 ALUMINUM 3003-H12 SHEET                                        0.0990 10.00 0.330  18.0  19.0  10.0  --- 12.90 0.20
  35 ALUMINUM 3003-H14                                              0.0990 10.00 0.330  21.1  22.9  16.8 68.0 12.90 0.20
  36 ALUMINUM 3003-H18 SHEET                                        0.0990 10.00 0.330  27.0  29.0   4.0  --- 12.90 0.20
  37 ALUMINUM 3004-O SHEET                                          0.0980 10.00 0.330  10.0  26.0  20.0  --- 13.30 0.20
  38 ALUMINUM 3004-H32 SHEET                                        0.0980 10.00 0.330  25.0  31.0  10.0  --- 13.30 0.20
  39 ALUMINUM 3004-H34 SHEET                                        0.0980 10.00 0.330  29.0  35.0   9.0  --- 13.30 0.20
  40 ALUMINUM 3004-H38 SHEET                                        0.0980 10.00 0.330  36.0  41.0   5.0  --- 13.30 0.20
  41 ALUMINUM 4032-T6                                               0.0970 11.40 0.330  46.0  55.0   9.0  --- 10.80 0.20
  42 ALUMINUM 5050-O SHEET                                          0.0970 10.00 0.330   8.0  21.0  24.0  --- 13.20 0.20
  43 ALUMINUM 5050-H32 SHEET                                        0.0970 10.00 0.330  21.0  25.0   9.0  --- 13.20 0.20
  44 ALUMINUM 5050-H34 SHEET                                        0.0970 10.00 0.330  24.0  28.0   8.0  --- 13.20 0.20
  45 ALUMINUM 5050-H38 SHEET                                        0.0970 10.00 0.330  29.0  32.0   6.0  --- 13.20 0.20
  46 ALUMINUM 5052-O SHEET                                          0.0970 10.20 0.330  13.0  28.0  25.0  --- 13.20 0.20
  47 ALUMINUM 5052-O                                                0.0970 10.20 0.330  12.0  28.0  30.0  --- 13.20 0.20
  48 ALUMINUM 5052-H34 SHEET                                        0.0970 10.20 0.330  31.0  38.0  10.0  --- 13.20 0.20
  49 ALUMINUM 5052-H38 SHEET                                        0.0970 10.20 0.330  38.0  44.0   9.0  --- 13.20 0.20
  50 ALUMINUM 5083-O SHEET                                          0.0960 10.30 0.330  22.0  44.0  23.0  --- 13.20 0.20
  51 ALUMINUM 5083-O                                                0.0960 10.30 0.330  20.4  46.8  19.5 26.0 13.20 0.20
  52 ALUMINUM 5083-H12 SHEET                                        0.0960 10.30 0.330  44.0  52.0  10.0  --- 13.20 0.20
